   100
  49     INDIUM          In  114.8200    488.0  7.3100E+00  16
       1       2   27940    1.67E-02
       2       2    4238    6.00E-02
       3       2    3938    2.99E-02
       4       4    3730    3.11E-02
       5       2     826    1.41E-01
       5       2     702    8.38E-02
       5       4     664    8.63E-02
       5       4     451    5.81E-02
       5       6     444    5.86E-02
       6       2     122    3.36E-01
       6       2      77    2.19E-01
       6       4      77    2.26E-01
       6       4      16    2.06E-01
       6       6      16    2.08E-01
       7      -2       6    1.24E+00
       7      -1       6    9.62E-01
  50     TIN             Sn  118.7100    488.0  7.3100E+00  16
       1       2   29200    1.63E-02
       2       2    4465    5.86E-02
       3       2    4156    2.92E-02
       4       4    3929    3.04E-02
       5       2     884    1.37E-01
       5       2     757    8.14E-02
       5       4     715    8.39E-02
       5       4     496    5.63E-02
       5       6     485    5.69E-02
       6       2     137    3.22E-01
       6       2      89    2.09E-01
       6       4      89    2.16E-01
       6       4      25    1.92E-01
       6       6      24    1.93E-01
       7       2       7    1.10E+00
       7      -2       7    8.36E-01
  51     ANTIMONY        Sb  121.7500    487.0  6.6910E+00  17
       1       2   30491    1.59E-02
       2       2    4699    5.72E-02
       3       2    4381    2.85E-02
       4       4    4132    2.98E-02
       5       2     944    1.33E-01
       5       2     812    7.91E-02
       5       4     766    8.16E-02
       5       4     537    5.46E-02
       5       6     528    5.52E-02
       6       2     152    3.09E-01
       6       2      99    2.00E-01
       6       4      99    2.07E-01
       6       4      33    1.79E-01
       6       6      32    1.81E-01
       7       2       8    1.00E+00
       7      -2       8    7.37E-01
       7      -1       8    7.64E-01
  52     TELLURIUM       Te  127.6000    485.0  6.2400E+00  17
       1       2   31814    1.56E-02
       2       2    4939    5.59E-02
       3       2    4612    2.78E-02
       4       4    4341    2.91E-02
       5       2    1006    1.30E-01
       5       2     870    7.69E-02
       5       4     819    7.94E-02
       5       4     583    5.30E-02
       5       6     573    5.36E-02
       6       2     169    2.96E-01
       6       2     110    1.91E-01
       6       4     110    1.98E-01
       6       4      42    1.68E-01
       6       6      40    1.70E-01
       7       2      12    9.20E-01
       7      -2       9    6.65E-01
       7      -2       9    6.93E-01
  53     IODINE          I   126.9045    491.0  4.9300E+00  17
       1       2   33170    1.53E-02
       2       2    5188    5.47E-02
       3       2    4852    2.72E-02
       4       4    4557    2.85E-02
       5       2    1072    1.26E-01
       5       2     931    7.48E-02
       5       4     875    7.74E-02
       5       4     631    5.15E-02
       5       6     620    5.21E-02
       6       2     186    2.85E-01
       6       2     123    1.84E-01
       6       4     123    1.90E-01
       6       4      50    1.59E-01
       6       6      50    1.61E-01
       7       2      14    8.53E-01
       7       2      10    6.08E-01
       7       3      10    6.37E-01
  54     XENON           Xe  131.2900    482.0  5.4854E-03  17
       1       2   34566    1.49E-02
       2       2    5453    5.35E-02
       3       2    5107    2.65E-02
       4       4    4787    2.79E-02
       5       2    1149    1.23E-01
       5       2    1002    7.29E-02
       5       4     941    7.54E-02
       5       4     689    5.01E-02
       5       6     677    5.07E-02
       6       2     213    2.74E-01
       6       2     146    1.76E-01
       6       4     146    1.82E-01
       6       4      69    1.51E-01
       6       6      68    1.53E-01
       7       2      23    7.97E-01
       7       2      13    5.62E-01
       7       4      12    5.92E-01
  55     CESIUM          Cs  132.9054    488.0  1.8730E+00  18
       1       2   35985    1.46E-02
       2       2    5713    5.23E-02
       3       2    5360    2.59E-02
       4       4    5012    2.73E-02
       5       2    1217    1.20E-01
       5       2    1065    7.10E-02
       5       4     998    7.35E-02
       5       4     740    4.88E-02
       5       6     724    4.94E-02
       6       2     231    2.64E-01
       6       2     162    1.70E-01
       6       4     162    1.76E-01
       6       4      77    1.44E-01
       6       6      75    1.45E-01
       7       2      23    7.20E-01
       7       2      13    4.98E-01
       7       4      11    5.22E-01
       6      -1       4    2.74E+00
  56     BARIUM          Ba  137.3270    491.0  3.5000E+00  18
       1       2   37441    1.43E-02
       2       2    5987    5.12E-02
       3       2    5624    2.54E-02
       4       4    5247    2.68E-02
       5       2    1293    1.17E-01
       5       2    1137    6.92E-02
       5       4    1063    7.18E-02
       5       4     796    4.75E-02
       5       6     781    4.81E-02
       6       2     253    2.55E-01
       6       2     180    1.63E-01
       6       4     180    1.69E-01
       6       4      93    1.37E-01
       6       6      90    1.39E-01
       7       2      40    6.57E-01
       7       2      17    4.52E-01
       7       4      15    4.73E-01
       6      -2       5    2.23E+00
  57     LANTHANUM       La  138.9055    501.0  6.1540E+00  18
       1       2   38925    1.40E-02
       2       2    6267    5.01E-02
       3       2    5891    2.48E-02
       4       4    5483    2.63E-02
       5       2    1362    1.14E-01
       5       2    1205    6.75E-02
       5       4    1124    7.01E-02
       5       4     852    4.63E-02
       5       6     835    4.69E-02
       6       2     271    2.46E-01
       6       2     196    1.58E-01
       6       4     196    1.63E-01
       6       4     103    1.31E-01
       6       6     103    1.33E-01
       7       2      36    6.16E-01
       7       2      18    4.24E-01
       7       4      18    4.40E-01
       6      -3       6    1.55E+00
  58     CERIUM          Ce  140.1150    523.0  6.6570E+00  18
       1       2   40444    1.37E-02
       2       2    6549    4.90E-02
       3       2    6165    2.43E-02
       4       4    5724    2.57E-02
       5       2    1435    1.11E-01
       5       2    1273    6.58E-02
       5       4    1186    6.84E-02
       5       4     901    4.52E-02
       5       6     883    4.58E-02
       6       2     289    2.39E-01
       6       2     207    1.53E-01
       6       4     207    1.59E-01
       6       4     112    1.27E-01
       6       6     108    1.29E-01
       7       2      38    6.02E-01
       7       2      18    4.14E-01
       7       4      18    4.31E-01
       6      -4       5    1.19E+00
  59     PRASEODYMIUM    Pr  140.9077    535.0  6.7100E+00  18
       1       2   41991    1.35E-02
       2       2    6835    4.80E-02
       3       2    6441    2.38E-02
       4       4    5965    2.52E-02
       5       2    1511    1.09E-01
       5       2    1338    6.43E-02
       5       4    1243    6.69E-02
       5       4     951    4.41E-02
       5       6     931    4.47E-02
       6       2     304    2.34E-01
       6       2     218    1.50E-01
       6       4     218    1.56E-01
       6       4     118    1.25E-01
       6       6     115    1.26E-01
       7       2      38    6.09E-01
       7       4      23    4.17E-01
       7       4      23    4.42E-01
       6      -3       5    9.49E-01
  60     NEODYMIUM       Nd  144.2400    546.0  6.9000E+00  19
       1       2   43569    1.32E-02
       2       2    7126    4.70E-02
       3       2    6722    2.33E-02
       4       4    6208    2.48E-02
       5       2    1576    1.06E-01
       5       2    1403    6.28E-02
       5       4    1298    6.54E-02
       5       4    1000    4.31E-02
       5       6     978    4.36E-02
       6       2     321    2.28E-01
       6       2     230    1.46E-01
       6       4     230    1.52E-01
       6       4     124    1.21E-01
       6       6     121    1.23E-01
       7       2      38    5.97E-01
       7       2      22    4.07E-01
       7       4      22    4.34E-01
       6       3       5    8.04E-01
       6      -3       5    8.04E-01
  61     PROMETHIUM      Pm  144.9127    560.0  7.2200E+00  19
       1       2   45185    1.29E-02
       2       2    7430    4.61E-02
       3       2    7015    2.28E-02
       4       4    6465    2.43E-02
       5       2    1656    1.04E-01
       5       2    1478    6.13E-02
       5       4    1364    6.40E-02
       5       4    1060    4.21E-02
       5       6    1034    4.26E-02
       6       2     337    2.23E-01
       6       2     242    1.42E-01
       6       4     242    1.48E-01
       6       4     133    1.18E-01
       6       6     129    1.19E-01
       7       2      38    5.86E-01
       7       2      22    3.99E-01
       7       4      22    4.27E-01
       6       4       6    7.93E-01
       6      -3       6    1.34E-01
  62     SAMARIUM        Sm  150.3600    574.0  7.4600E+00  19
       1       2   46835    1.27E-02
       2       2    7737    4.52E-02
       3       2    7312    2.23E-02
       4       4    6717    2.39E-02
       5       2    1728    1.01E-01
       5       2    1546    5.99E-02
       5       4    1425    6.26E-02
       5       4    1111    4.12E-02
       5       6    1085    4.17E-02
       6       2     351    2.17E-01
       6       2     251    1.39E-01
       6       4     251    1.45E-01
       6       4     137    1.15E-01
       6       6     132    1.16E-01
       7       2      33    5.75E-01
       7       2      26    3.91E-01
       7       4      26    4.20E-01
       6       6       6    1.29E-01
       6      -2       6    2.09E+00
  63     EUROPIUM        Eu  151.9650    580.0  5.2430E+00  19
       1       2   48519    1.24E-02
       2       2    8052    4.43E-02
       3       2    7618    2.19E-02
       4       4    6977    2.34E-02
       5       2    1805    9.92E-02
       5       2    1619    5.86E-02
       5       4    1486    6.13E-02
       5       4    1166    4.03E-02
       5       6    1136    4.08E-02
       6       2     366    2.12E-01
       6       2     261    1.35E-01
       6       4     261    1.42E-01
       6       4     141    1.12E-01
       6       6     136    1.14E-01
       7       2      37    5.64E-01
       7       2      27    3.84E-01
       7       4      27    4.13E-01
       6       7       6    1.24E-01
       6      -2       6    1.42E+00
  64     GADOLINIUM      Gd  157.2500    591.0  7.9004E+00  19
       1       2   50239    1.22E-02
       2       2    8376    4.34E-02
       3       2    7931    2.14E-02
       4       4    7243    2.30E-02
       5       2    1888    9.71E-02
       5       2    1695    5.73E-02
       5       4    1551    6.01E-02
       5       4    1225    3.94E-02
       5       6    1193    3.99E-02
       6       2     383    2.07E-01
       6       2     311    1.32E-01
       6       4     272    1.38E-01
       6       4     147    1.09E-01
       6       6     142    1.10E-01
       7       2      43    5.38E-01
       7       2      28    3.66E-01
       7       4      28    3.91E-01
       6       7       6    1.13E-01
       6      -3       6    1.11E+00
  65     TERBIUM         Tb  158.9253    614.0  8.2290E+00  19
       1       2   51996    1.20E-02
       2       2    8708    4.26E-02
       3       2    8252    2.10E-02
       4       4    7515    2.26E-02
       5       2    1970    9.50E-02
       5       2    1770    5.61E-02
       5       4    1614    5.89E-02
       5       4    1278    3.86E-02
       5       6    1244    3.91E-02
       6       2     400    2.03E-01
       6       2     322    1.29E-01
       6       4     284    1.36E-01
       6       4     152    1.07E-01
       6       6     148    1.08E-01
       7       2      42    5.44E-01
       7       2      28    3.70E-01
       7       4      28    4.00E-01
       6       6       6    1.16E-01
       6      -5       6    8.85E-01
  66     DYSPROSIUM      Dy  162.5000    628.0  8.5500E+00  19
       1       2   53788    1.17E-02
       2       2    9047    4.18E-02
       3       2    8581    2.06E-02
       4       4    7790    2.22E-02
       5       2    2050    9.31E-02
       5       2    1845    5.49E-02
       5       4    1679    5.77E-02
       5       4    1335    3.78E-02
       5       6    1298    3.84E-02
       6       2     419    1.99E-01
       6       2     339    1.26E-01
       6       4     297    1.33E-01
       6       4     158    1.04E-01
       6       6     155    1.06E-01
       7       2      66    5.35E-01
       7       2      29    3.64E-01
       7       4      29    3.94E-01
       6       9       6    1.13E-01
       6      -3       6    7.48E-01
  67     HOLMIUM         Ho  164.9303    650.0  8.7950E+00  19
       1       2   55618    1.15E-02
       2       2    9395    4.10E-02
       3       2    8918    2.02E-02
       4       4    8071    2.19E-02
       5       2    2123    9.12E-02
       5       2    1918    5.37E-02
       5       4    1736    5.66E-02
       5       4    1386    3.70E-02
       5       6    1346    3.76E-02
       6       2     431    1.94E-01
       6       2     349    1.23E-01
       6       4     309    1.30E-01
       6       4     164    1.02E-01
       6       6     161    1.04E-01
       7       2      51    5.26E-01
       7       2      20    3.58E-01
       7       4      20    3.88E-01
       6      10       6    1.10E-01
       6      -3       6    6.50E-01
  68     ERBIUM          Er  167.2600    658.0  9.0660E+00  19
       1       2   57486    1.13E-02
       2       2    9752    4.02E-02
       3       2    9265    1.98E-02
       4       4    8358    2.15E-02
       5       2    2211    8.93E-02
       5       2    2010    5.26E-02
       5       4    1816    5.56E-02
       5       4    1457    3.62E-02
       5       6    1413    3.69E-02
       6       2     453    1.90E-01
       6       2     366    1.21E-01
       6       4     320    1.28E-01
       6       4     172    9.96E-02
       6       6     169    1.01E-01
       7       2      64    5.17E-01
       7       2      33    3.53E-01
       7       4      33    3.83E-01
       6      11       6    1.07E-01
       6      -3       6    5.75E-01
  69     THULIUM         Tm  168.9342    674.0  9.3210E+00  20
       1       2   59390    1.11E-02
       2       2   10116    3.95E-02
       3       2    9617    1.94E-02
       4       4    8648    2.11E-02
       5       2    2305    8.76E-02
       5       2    2088    5.16E-02
       5       4    1883    5.45E-02
       5       4    1513    3.55E-02
       5       6    1466    3.62E-02
       6       2     470    1.86E-01
       6       2     382    1.18E-01
       6       4     333    1.25E-01
       6       4     180    9.75E-02
       6       6     176    9.94E-02
       7       2      51    5.09E-01
       7       2      30    3.47E-01
       7       4      30    3.78E-01
       6       6       6    1.04E-01
       6       6       6    3.37E-01
       7      -3       6    1.95E+00
  70     YTTERBIUM       Yb  173.0400    684.0  6.7300E+00  20
       1       2   61332    1.09E-02
       2       2   10487    3.88E-02
       3       2    9978    1.90E-02
       4       4    8943    2.08E-02
       5       2    2397    8.59E-02
       5       2    2172    5.05E-02
       5       4    1949    5.35E-02
       5       4    1576    3.48E-02
